Date,Product,Category,Price,Quantity Sold,Total Sales
2025-01-01,Laptop,Electronics,55000,2,110000
2025-01-01,Mouse,Electronics,500,10,5000
2025-01-02,T-Shirt,Clothing,800,5,4000
2025-01-02,Jeans,Clothing,1500,3,4500
2025-01-03,Mobile Phone,Electronics,20000,4,80000
2025-01-03,Headphones,Electronics,1500,6,9000
2025-01-04,Shoes,Footwear,2500,2,5000
2025-01-04,Sandals,Footwear,1200,4,4800
2025-01-05,Watch,Accessories,3000,3,9000
2025-01-05,Bag,Accessories,2000,2,4000
2025-01-06,Laptop,Electronics,60000,1,60000
2025-01-06,Keyboard,Electronics,1000,5,5000
2025-01-07,Shirt,Clothing,1200,6,7200
2025-01-07,Cap,Accessories,500,8,4000
2025-01-08,Tablet,Electronics,30000,2,60000
